1 ,Verify textbox email with "Name field" empty' ,Email field cannot be empty ,1)Click on Email field      2)Press Enter, '' ,Name field should be focused and have require message -Please fill out this field ,Name field is focused and have require message -Please fill out this field. ,Cypress ,Pass
2 ,Verify textbox Email with "Name field" empty ,First character cannot be space ,1)Click on Email field      2)Press on space button      3)Press Enter , ' ' ,Name field should be focused and have require message -Please fill out this field ,Name field is focused and have require message -Please fill out this field. ,Manual ,Pass
3 ,Verify textbox Email with "Name field" empty, Test invalid email address ,1)Click on Email field      2)Type test@Homework..ru      3)Press Enter , 'test@Homework..ru' ,Name field should be focused and have require message -Please fill out this field ,Name field is focused and have require message -Please fill out this field. ,Cypress ,Pass
4 ,Verify textbox Email with "Name field" empty ,Test invalid email address ,1)Click on Email field      2)Type @testHomework@gmail.      3)Press Enter , '@testHomework@gmail.' ,Name field should be focused and have require message -Please fill out this field ,Name field is focused and have require message -Please fill out this field. ,Cypress ,Pass
5 ,Verify textbox Email with "Name field" empty ,Test invalid email address ,1)Click on Email field      2)Type .testHomeworkgmail.ro      3)Press Enter , '.testHomeworkgmail.ro' ,Name field should be focused and have require message -Please fill out this field ,Name field is focused and have require message -Please fill out this field. ,Cypress ,Pass
6 ,Verify textbox Email with "Name field" empty ,Test valid data ,1)Click on Email field      2)Type test.Homework@gmail.com      3)Press Enter , 'test.Homework@gmail.com' ,Name field should be focused and have require message -Please fill out this field ,Name field is focused and have require message -Please fill out this field. ,Cypress ,Pass
7 ,Verify textbox email with "Name field" filled ,Email field cannot be empty ,1)Click on Email field      2)Press Enter , '' ,Should be focused and have require message -Please fill out this field ,Is focused and have require message -Please fill out this field ,Cypress ,Pass
8 ,Verify textbox Email with "Name field" filled ,First character cannot be space ,1)Click on Email field      2)Press on space button      3)Press Enter , ' ' ,Should be focused and have require message -Please fill out this field ,Is focused and have require message -Please fill out this field ,Manual ,Pass
9 ,Verify textbox Email with "Name field" filled ,Test invalid email address ,1)Click on Email field      2)Type test@Homework..ru      3)Press Enter , 'test@Homework..ru' ,Should be focused and have require message -'.' is used at a wrong position in 'Homework..ru'. ,Is focused and have require message -'.' is used at a wrong position in 'Homework..ru'. ,Cypress ,Pass
10 ,Verify textbox Email with "Name field" filled ,Test invalid email address ,1)Click on Email field      2)Type @testHomework@gmail.      3)Press Enter , '@testHomework@gmail.' ,Should be focused and have require message -Please enter a part followed by '@'. '@testHomework@gmail.' is incomplete. ,Is focused and have require message -Please enter a part followed by '@'. '@testHomework@gmail.' is incomplete. ,Cypress ,Pass
11 ,Verify textbox Email with "Name field" filled ,Test invalid email address ,1)Click on Email field      2)Type .testHomeworkgmail.ro      3)Press Enter , '.testHomeworkgmail.ro' ,Should be focused and have require message -Please include an '@' in the email address. '.testHomeworkgmail.ro' is missing an '@'. ,Is focused and have require message -Please include an '@' in the email address. '.testHomeworkgmail.ro' is missing an '@'. ,Cypress ,Pass
12 ,Verify textbox Email with "Name field" filled ,Test valid data ,1)Click on Email field      2)Type test.Homework@gmail.com      3)Press Enter , 'test.Homework@gmail.com' ,Should be focused on Experience select field, Focused on comment field ,Cypress ,Fail
